title,price,link,id,review
Happy's Humble Burger Cult,$7.99,https://store.steampowered.com/app/3453910/Happys_Humble_Burger_Cult/?snr=1_7_7_2300_150_2,3453910,positive
V Rising,$15.74,https://store.steampowered.com/app/1604030/V_Rising/?snr=1_7_7_2300_150_2,1604030,positive
Stray,$14.99,https://store.steampowered.com/app/1332010/Stray/?snr=1_7_7_2300_150_2,1332010,positive
Atomic Heart,$14.99,https://store.steampowered.com/app/668580/Atomic_Heart/?snr=1_7_7_2300_150_2,668580,positive
GROUND BRANCH,$23.99,https://store.steampowered.com/app/16900/GROUND_BRANCH/?snr=1_7_7_2300_150_2,16900,positive
Outer Wilds,$14.99,https://store.steampowered.com/app/753640/Outer_Wilds/?snr=1_7_7_2300_150_2,753640,positive
Manor Lords,$25.99,https://store.steampowered.com/app/1363080/Manor_Lords/?snr=1_7_7_2300_150_2,1363080,positive
PAYDAY 2,$4.99,https://store.steampowered.com/app/218620/PAYDAY_2/?snr=1_7_7_2300_150_2,218620,positive
Among Us,$2.99,https://store.steampowered.com/app/945360/Among_Us/?snr=1_7_7_2300_150_2,945360,positive
Totally Accurate Battle Simulator,$3.99,https://store.steampowered.com/app/508440/Totally_Accurate_Battle_Simulator/?snr=1_7_7_2300_150_2,508440,positive
METAL GEAR SOLID: MASTER COLLECTION Vol.1,$29.99,https://store.steampowered.com/sub/886313/?snr=1_7_7_2300_150_2,"2131630,2131640,2131650,2131680,2306740",positive
Esports Manager 2026,$15.99,https://store.steampowered.com/app/2749950/Esports_Manager_2026/?snr=1_7_7_2300_150_2,2749950,mixed
YAPYAP,$7.49,https://store.steampowered.com/app/3834090/YAPYAP/?snr=1_7_7_2300_150_2,3834090,positive
Pratfall,$6.39,https://store.steampowered.com/app/4244510/Pratfall/?snr=1_7_7_2300_150_2,4244510,positive
Chained Together,$3.99,https://store.steampowered.com/app/2567870/Chained_Together/?snr=1_7_7_2300_150_2,2567870,positive
METAL GEAR SOLID V: The Definitive Experience,$17.99,https://store.steampowered.com/sub/132479/?snr=1_7_7_2300_150_2,"287700,311340,406540,406560,406580,406590,406600,406610,406620,436030,436040,436050,437230,437231",positive
Diggin,$4.89,https://store.steampowered.com/app/4157430/Diggin/?snr=1_7_7_2300_150_2,4157430,positive
THE KING OF FIGHTERS XV,$7.49,https://store.steampowered.com/app/1498570/THE_KING_OF_FIGHTERS_XV/?snr=1_7_7_2300_150_2,1498570,positive
GTFO,$11.59,https://store.steampowered.com/app/493520/GTFO/?snr=1_7_7_2300_150_2,493520,positive
BOOK OF HOURS,$9.99,https://store.steampowered.com/app/1028310/BOOK_OF_HOURS/?snr=1_7_7_2300_150_2,1028310,positive
PGA TOUR 2K25,$39.59,https://store.steampowered.com/app/2385530/PGA_TOUR_2K25/?snr=1_7_7_2300_150_2,2385530,mixed
A Plague Tale: Requiem,$14.99,https://store.steampowered.com/app/1182900/A_Plague_Tale_Requiem/?snr=1_7_7_2300_150_2,1182900,positive
Farever,$15.99,https://store.steampowered.com/app/3672400/Farever/?snr=1_7_7_2300_150_2,3672400,positive
SULFUR,$12.49,https://store.steampowered.com/app/2124120/SULFUR/?snr=1_7_7_2300_150_2,2124120,positive
Witchspire,$19.54,https://store.steampowered.com/app/2679100/Witchspire/?snr=1_7_7_2300_150_2,2679100,positive
Police Simulator: Patrol Officers,$5.99,https://store.steampowered.com/app/997010/Police_Simulator_Patrol_Officers/?snr=1_7_7_2300_150_2,997010,positive
Warhammer: Vermintide 2,$2.99,https://store.steampowered.com/app/552500/Warhammer_Vermintide_2/?snr=1_7_7_2300_150_2,552500,positive
Ascend to ZERO,$9.59,https://store.steampowered.com/app/2697940/Ascend_to_ZERO/?snr=1_7_7_2300_150_2,2697940,positive
METAL GEAR SOLID V: THE PHANTOM PAIN,$17.99,https://store.steampowered.com/app/287700/METAL_GEAR_SOLID_V_THE_PHANTOM_PAIN/?snr=1_7_7_2300_150_2,287700,positive
Jump Space,$15.99,https://store.steampowered.com/app/1757300/Jump_Space/?snr=1_7_7_2300_150_2,1757300,positive
A Plague Tale: Innocence,$3.99,https://store.steampowered.com/app/752590/A_Plague_Tale_Innocence/?snr=1_7_7_2300_150_2,752590,positive
Construction Simulator,$7.49,https://store.steampowered.com/app/1273400/Construction_Simulator/?snr=1_7_7_2300_150_2,1273400,positive
Rock Bottom,$7.19,https://store.steampowered.com/app/4297840/Rock_Bottom/?snr=1_7_7_2300_150_2,4297840,positive
Celeste,$4.99,https://store.steampowered.com/app/504230/Celeste/?snr=1_7_7_2300_150_2,504230,positive
The Surge,$1.94,https://store.steampowered.com/app/378540/The_Surge/?snr=1_7_7_2300_150_2,378540,positive
The Surge 2,$2.99,https://store.steampowered.com/app/644830/The_Surge_2/?snr=1_7_7_2300_150_2,644830,positive
Blue Prince,$17.99,https://store.steampowered.com/app/1569580/Blue_Prince/?snr=1_7_7_2300_150_2,1569580,positive
SCUM,$17.99,https://store.steampowered.com/app/513710/SCUM/?snr=1_7_7_2300_150_3,513710,positive
Kingdom Two Crowns,$3.99,https://store.steampowered.com/app/701160/Kingdom_Two_Crowns/?snr=1_7_7_2300_150_3,701160,positive
The Forever Winter,$14.99,https://store.steampowered.com/app/2828860/The_Forever_Winter/?snr=1_7_7_2300_150_3,2828860,positive
Against the Storm,$8.99,https://store.steampowered.com/app/1336490/Against_the_Storm/?snr=1_7_7_2300_150_3,1336490,positive
Crow Country,$5.99,https://store.steampowered.com/app/1996010/Crow_Country/?snr=1_7_7_2300_150_3,1996010,positive
Cat Chess,$5.94,https://store.steampowered.com/app/4163030/Cat_Chess/?snr=1_7_7_2300_150_3,4163030,positive
MENACE,$29.99,https://store.steampowered.com/app/2432860/MENACE/?snr=1_7_7_2300_150_3,2432860,positive
RoadCraft,$23.99,https://store.steampowered.com/app/2104890/RoadCraft/?snr=1_7_7_2300_150_3,2104890,positive
Core Keeper,$13.99,https://store.steampowered.com/app/1621690/Core_Keeper/?snr=1_7_7_2300_150_3,1621690,positive
PAYDAY 3,$14.99,https://store.steampowered.com/app/1272080/PAYDAY_3/?snr=1_7_7_2300_150_3,1272080,mixed
Gang Beasts,$7.99,https://store.steampowered.com/app/285900/Gang_Beasts/?snr=1_7_7_2300_150_3,285900,positive
Forensics: Crime Scene Detective,$19.99,https://store.steampowered.com/app/3765010/Forensics_Crime_Scene_Detective/?snr=1_7_7_2300_150_3,3765010,mixed
Crime Scene Cleaner,$21.89,https://store.steampowered.com/app/1040200/Crime_Scene_Cleaner/?snr=1_7_7_2300_150_3,1040200,positive
Plague Inc: Evolved,$2.99,https://store.steampowered.com/app/246620/Plague_Inc_Evolved/?snr=1_7_7_2300_150_3,246620,positive
Hello Kitty Island Adventure,$23.99,https://store.steampowered.com/app/2495100/Hello_Kitty_Island_Adventure/?snr=1_7_7_2300_150_3,2495100,positive
Workers & Resources: Soviet Republic,$9.99,https://store.steampowered.com/app/784150/Workers__Resources_Soviet_Republic/?snr=1_7_7_2300_150_3,784150,positive
Dome Keeper,$5.39,https://store.steampowered.com/app/1637320/Dome_Keeper/?snr=1_7_7_2300_150_3,1637320,positive
Barotrauma,$19.99,https://store.steampowered.com/app/602960/Barotrauma/?snr=1_7_7_2300_150_3,602960,positive
Goat Simulator 3,$11.99,https://store.steampowered.com/app/850190/Goat_Simulator_3/?snr=1_7_7_2300_150_3,850190,positive
Green Hell,$2.79,https://store.steampowered.com/app/815370/Green_Hell/?snr=1_7_7_2300_150_3,815370,positive
Magical Girl Witch Trials,$23.99,https://store.steampowered.com/app/3101040/Magical_Girl_Witch_Trials/?snr=1_7_7_2300_150_3,3101040,positive
MISERY,$9.74,https://store.steampowered.com/app/2119830/MISERY/?snr=1_7_7_2300_150_3,2119830,positive
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars,$24.99,https://store.steampowered.com/app/1932640/Suikoden_III_HD_Remaster_Gate_Rune_and_Dunan_Unification_Wars/?snr=1_7_7_2300_150_3,1932640,positive
Chants of Sennaar,$9.99,https://store.steampowered.com/app/1931770/Chants_of_Sennaar/?snr=1_7_7_2300_150_3,1931770,positive
Darkest Dungeon® II,$12.39,https://store.steampowered.com/app/1940340/Darkest_Dungeon_II/?snr=1_7_7_2300_150_3,1940340,positive
Devil May Cry HD Collection,$4.49,https://store.steampowered.com/app/631510/Devil_May_Cry_HD_Collection/?snr=1_7_7_2300_150_3,631510,positive
TEKKEN 7,$5.99,https://store.steampowered.com/app/389730/TEKKEN_7/?snr=1_7_7_2300_150_3,389730,positive
Ravenswatch,$12.49,https://store.steampowered.com/app/2071280/Ravenswatch/?snr=1_7_7_2300_150_3,2071280,positive
Kenshi,$11.99,https://store.steampowered.com/app/233860/Kenshi/?snr=1_7_7_2300_150_3,233860,positive
Storebound,$6.39,https://store.steampowered.com/app/3417410/Storebound/?snr=1_7_7_2300_150_3,3417410,positive
Vampire Survivors,$3.99,https://store.steampowered.com/app/1794680/Vampire_Survivors/?snr=1_7_7_2300_150_3,1794680,positive
Haste,$11.99,https://store.steampowered.com/app/1796470/Haste/?snr=1_7_7_2300_150_3,1796470,positive
Tropico 6,$11.99,https://store.steampowered.com/app/492720/Tropico_6/?snr=1_7_7_2300_150_3,492720,positive
Town to City,$22.49,https://store.steampowered.com/app/3115220/Town_to_City/?snr=1_7_7_2300_150_3,3115220,positive
Prison Architect,$7.49,https://store.steampowered.com/app/233450/Prison_Architect/?snr=1_7_7_2300_150_3,233450,positive
Destiny of Immortal,$10.79,https://store.steampowered.com/app/2377930/Destiny_of_Immortal/?snr=1_7_7_2300_150_3,2377930,positive
Insurgency: Sandstorm,$7.49,https://store.steampowered.com/app/581320/Insurgency_Sandstorm/?snr=1_7_7_2300_150_3,581320,positive
Urban Strife,$24.49,https://store.steampowered.com/app/710230/Urban_Strife/?snr=1_7_7_2300_150_3,710230,positive
